CapabilityStatement N
StructureDefinition N
ImplementationGuide 4
SearchParameter 5
MessageDefinition 1
OperationDefinition N
CompartmentDefinition 3
StructureMap 4
GraphDefinition 2
CodeSystem N
ValueSet N
ConceptMap 3
NamingSystem 4
TerminologyCapabilities 1
Provenance 4
AuditEvent 4
Permission 0
Consent 2
Composition 4
DocumentReference 4
Basic 3
Binary N
Bundle N
Linkage 0
MessageHeader 4
OperationOutcome N
Parameters N
Subscription 3
SubscriptionStatus 2
SubscriptionTopic 2
Patient N
Practitioner 5
PractitionerRole 4
RelatedPerson 5
Person 4
Group 3
Organization 5
OrganizationAffiliation 1
HealthcareService 4
Endpoint 2
Location 5
Substance 2
BiologicallyDerivedProduct 2
Device 2
DeviceMetric 1
NutritionProduct 1
Task 3
Transport 1
Appointment 3
AppointmentResponse 3
Schedule 3
Slot 3
VerificationResult 1
Encounter 4
EncounterHistory 0
EpisodeOfCare 2
Flag 1
List 4
Library 4
AllergyIntolerance 3
AdverseEvent 2
Condition (Problem) 5
Procedure 4
FamilyMemberHistory 2
ClinicalImpression 1
DetectedIssue 2
Observation N
DocumentReference 4
DiagnosticReport 3
Specimen 2
BodyStructure 1
ImagingSelection 1
ImagingStudy 4
QuestionnaireResponse 5
MolecularSequence 1
GenomicStudy 0
MedicationRequest 4
MedicationAdministration 2
MedicationDispense 2
MedicationStatement 4
Medication 4
MedicationKnowledge 1
Immunization 5
ImmunizationEvaluation 1
ImmunizationRecommendation 1
FormularyItem 0
CarePlan 2
CareTeam 2
Goal 2
ServiceRequest 4
NutritionOrder 2
NutritionIntake 1
VisionPrescription 3
RiskAssessment 2
RequestOrchestration 4
Communication 2
CommunicationRequest 2
DeviceRequest 1
DeviceDispense 0
DeviceAssociation 0
DeviceUsage 1
BiologicallyDerivedProductDispense 0
GuidanceResponse 2
SupplyRequest 1
SupplyDelivery 1
InventoryItem 0
InventoryReport 0
Coverage 4
CoverageEligibilityRequest 4
CoverageEligibilityResponse 4
EnrollmentRequest 0
EnrollmentResponse 0
Claim 2
ClaimResponse 2
Invoice 0
PaymentNotice 4
PaymentReconciliation 4
Account 2
ChargeItem 1
ChargeItemDefinition 1
Contract 1
ExplanationOfBenefit 2
InsurancePlan 1
InsuranceProduct 1
ResearchStudy 0
ResearchSubject 0
ActivityDefinition 4
ConditionDefinition 0
DeviceDefinition 1
EventDefinition 0
ObservationDefinition 1
PlanDefinition 4
Questionnaire 5
SpecimenDefinition 1
ExampleScenario 1
ActorDefinition 1
Requirements 1
ArtifactAssessment 1
Citation 1
Evidence 1
EvidenceReport 0
EvidenceVariable 1
Measure 4
MeasureReport 4
TestPlan 0
TestScript 4
TestReport 1
MedicinalProductDefinition 3
PackagedProductDefinition 2
AdministrableProductDefinition 2
ManufacturedItemDefinition 2
Ingredient 2
ClinicalUseDefinition 2
RegulatedAuthorization 2
SubstanceDefinition 1
SubstanceNucleicAcid 0
SubstancePolymer 0
SubstanceProtein 0
SubstanceReferenceInformation 0
SubstanceSourceMaterial 0
